Budget Time ,globalType,Deprec CC,Prefix,projectNo,projectTitle,Comments ,Approval / Changes Notes ,creditType ,businessDriver,category,Program ,Factor,businessCase,Status,SPPM,CRB,PD,SME,Approved CAs,Capital,Expense ,Oustand CA? (Y/N),Carry over 2016,"Benefit 
P-Score","Cost/ Effort 
P-Score",Overall P-Score,Total RR 2016,Expend.,2014,2016,2017,2018,2019,2020,2021,TOTAL,Total Estimated Proj. Cost,2014,2016,2017,2018,2019,2020,2021,Total Current Estimate ,Total Estimated Proj. Cost
T3,,1891,G160,74392,Water Reclaim System,"04/29/16 AW, ST, TL, and AH decided to only spend remaining funds from PO. It is not required for P2, but due to structural and piping changes it is highly recommended to execute the overlapped portion with P2 to minimize downtime and system impact.  There are two phases for the project, the 1st phase is in B341 and the 2nd phase is in B311.  The 2nd phase can be staged out further into 2015 or 2016.  The business driver is the water reduction goal that has been set forth by SHE corporate, as well as resource conservation.","03/22/16 Project rescoped and reduced by $332k per MD. 12/14/15 Scope reduction, removed $800k from 2016 to 2017 per AH. 01/14/14 Changed to Exec. 12/02/14 CA Submitted.  10/14/14 CA issued. 9/2/14 Appr by IMPACT. 8/21/14 Appr by jPMT. 7/14/14 Changed PMO Lead.  7/08/14 Budget updated according to Pull In Meeting. We still need to confirm with estimate. 6/30/14 Entered budget according to Tim input. Tim will work with John on the SS. ",Individual,CTT,SHE and K-Directives,Reliability and Value,,There is a Roche US SHEP 12 requires annual objectives and targets for water use reduction,Execute,Scott Fields,Jim Koons,Mel Davis ,Tim Lai,$344k,$323k,$21k,0.9,2.3,6.1,,$179k,,$144k,,,,,,$144k,$323k,#REF!,$144k,,,,,,$323k,#REF!,,
T3,,659,L160,74404,Mezzanine Lift Media Prep: Phase 1B,"8/19/14 CA1 $707,729 incl 20% Contg. 2014 it might start work with the gate for 1A lift and purchase of equipment and 2015 the installation of the new lift. Improvements and additional lift for Media Prep. 3/11/16 Have to wait for eletrical shutdown to tie in 480V, per MD.",10/13/14 WBS Received. 9/24/14 CA Submitted. 9/15/14 Updated the budget according to CA. 8/19/14 Appr by IMPACT. 7/03/14 Appr by jPMT coming to IMPACT. 7/2/14 John input is that they will come to jPMT for approval of additional funding ,Individual,QSP,SHE and K-Directives,Highly Capable Workforce,,"To provide the ability for lifting manufacturing materials and janitorial buckets to mezzanines in order to reduce the risk of personal injury to contractor and employees and improved safety ops. 
",Execute,Melanie Yevilov,Tucker Creighton,Mel Davis ,Dick Sloan,$686k,$656k,$30k,1.5,1.9,10.7,,$283k,,$270k,,,,,,$270k,$553k,#REF!,$270k,,,,,,$553k,#REF!,,
T3,,1238,L160,74406,Corrosive Chemical Compliance,"Pull-In a portion in 2014 (PI) for around $150K. 3/11/16 Planned to do 3 phases (separate projects); 311 in 2016, 341 in 2017, and 321 in 2018 as per MD.","6/16/16 Will be requesting $2M additional funding, CRB firming up amounts. 01/16/15 WBS Received. 01/14/15 Changed to CA submitted. 11/04/14 Appr by IMPACT. 10/23/14 Appr by jPMT. 10/9/14 Needs to come back to jPMT with the modifications on presentation, estimated 10/23/14. 8/21/14 Changed to LT Appr. 7/14/14 Change the PMO. 7/08/14 Added according to our Pull-In meeting ",Individual,RTO,SHE and K-Directives,Reliability and Value,,"Bldg. 311, Bldg. 321, and Bldg. 341 are exceeding the allowable limit for caustics per CA Fire Code for solutions greater than 1% by volume. OCN is currently out of compliance and being given clearance for now by the local fire department. It is about life safety to our employees and local responding agencies. ",Execute,Scott Fields,Jim Koons,Mel Davis ,Tim Lai,"$1,953k","$1,901k",$52k,6.6,3.9,34,,$103k,,"$1,724k",$84k,,,,,"$1,808k","$1,911k",#REF!,"$1,724k",$84k,,,,,"$1,911k",#REF!,,
T3,,642,L160,74409,K6 Program - Project 1 - Replace DX HVAC Units,"9/17/15 Planning Phase for PI/CD for the K6 Program. Project for Chillers and -20 compressors will request funds independently. 05/01/15 Per Mel's email Phase 1 will only address HVAC DX replacement for B-341 CUB. (6) units total to be replaced. Add CW, HHW, BMS to these (6) units. Phase 2 will be re-defined during the T3 2016 budgeting exercise. These numbers came from the CRB Estimator based on the revised scope of work. 
Phase 1 of the K6 Project. Nine (9) units in total. Two (2) in Building 361, one (1) in Building 371, six (6) in Building 341. Estimate calculated $72,000 /Each + 45% of CRB commission and 20% ",01/12/16 Project deferred per IMPACT discussion. 10/16/15 CA Routing. 10/06/15 IMPACT Endorsed. 9/17/15 PMT Appr. 03/25/15 Project cashflow and RR reviewed. 11/10/14 Project reviewed. 8/21/14 Changed to LT Appr. 7/17/14 Changed to Global JK. 7/11/14 Added to prtofolio according to John's email. ,Individual,CTT,SHE and K-Directives,Fit for Purpose,,"Existing DX HVAC units use R-410A refrigerant which must be eliminated per Roche K6 directive. In Scope: DX HVAC units in 321, 322, 341, 361, and 371.",Execute,Zaymar Sedra,John Urban,Alister Hufton,Geoff Wing / Pierre Luong,$100k,$100k,$k,1.8,2.7,11.3,0.75,$k,,,"$2,170k",,,,,"$2,170k","$2,170k",#REF!,,"$2,170k",,,,,"$2,170k",#REF!,,
T3,,1234,L160,74416,Asphyxiant Gas Remediation,"SHE project. Jim working with SHE to define the SME to coordinate with CRB and getting an estimate. K16. 3/11/16 Project will connect to UPSS; project is currently about 3 months behind, per MD.","12/8/15 Reduced by $400k per IMPACT discussion. 7/15/15 CA Appr. 7/10/15 Changed to CA Submitted. 6/16/15 IMPACT Appr. 6/11/15 Appr by PMT. 04/10/15 Per Gary, scope has been reduced from 11 rooms to 5 rooms, budget has been reduced by 40% Project expected to be complete in 2015. 11/06/14 Project reviewed. 8/21/14 Changed to LT Appr. 8/11/14 Change SME. 7/16/14 Changed to Idea. 7/08/14 High Risk project. It will be not executed this year. IT requires a K-9 Study. 6/30/14 Added according to Liza pull-in list. ",Individual,RTO,SHE and K-Directives,Highly Capable Workforce,,OCN has identified spaces that are deemed unsafe for occupancy if a Nitrogen release occurs. Currently out of compliance and are being given a hall pass for now by the local safe department.  ,Execute 1,Melanie Yevilov,Marcus Espinoza,Mel Davis ,Gary Merrill,$64k,$64k,,1.5,1.6,11.1,0.18,$37k,,$126k,,,,,,$126k,$163k,#REF!,$126k,,,,,,$163k,#REF!,,
T3,,583,L160,74418,QC Lab Reconfiguration & Equipment,"Phase 1 Planning $480,452. Phase 2 expected to start in May. Total Project $4,160k. P2 fall off and it has been endorsed by the Steering Committee ","03/24/16 Capital and expense portions changed to align with better cash flow forecasting. 11/05/15 PMT Endorsed. 02/16/15 CA Submitted. 01/13/14 CA isued. 12/03/14 BMLT Appr. 11/18/14 Appr by IMPACT. 11/13/14 Approved by jPMT. 8/27/14 Changed to Budgeted. From 8/21/14 meeting, the portion that might be included in 74382 will be rolled up. ",Individual,QSP,Tech Transfers,Launch and Commercial Excellence,,Problem Statements:  1) Current Configuration could result in a false negative or false positive result in our PCR suite.  Oceanside’s PCR suite is used to test Adventitious Material for the Network. 2) QC Equipment needs to be updated for reliance and technology improvements to support CMC Continuum. 3) P2 will create an additional sample load on samples that are not Run rate specific.   The current QC labs are not designed to handle this increased sample size.,Execute 1,Jim Neeleman,Greg Crecely,Mel Davis,Amanda Gutierrez,"$3,831k","$3,704k",$127k,3.4,4.4,15.8,0.75,$225k,,"$3,275k",$290k,,,,,"$3,564k","$3,789k",#REF!,"$3,275k",$290k,,,,,"$3,789k",#REF!,,
T3,,1586,L160,74426,Process VSD and SOV Replacement - 2015,Asset Replacement - CRB heavely driven ,6/25/15 Changed to Execute. 06/10/15 CA Submitted. 05/5/15 Appr by IMPACT. 04/23/15 jPMT Appr. 10/16/14 P-scored at jPMT.,Individual,QSP,Stay in Business,Reliability and Value,,Both SOV and VSD problem create a great risk to reliable operations. The 2016 SD is a window opportunity to perform some or all of the identified equipment replacements. ,Execute,Scott Fields,Tucker Creighton,Alister Hufton,Jonathan Clark ,$707k,$707k,,N/A,N/A,N/A,,$195k,,$590k,,,,,,$590k,$784k,#REF!,$590k,,,,,,$784k,#REF!,,
T3,,1586,L160,74427,MCS Network Infrastructure Asset Replacement - 2016,"S/D critical project. Asset Replacement - The project will proceed with the PI Phase for a feed study.Since the requested amount is expense and less than $500k, a CA is not required.  A PO will be requested for $300k.  Eric Fallon will be added to the approval chain to endorse the project as the functional leader before the authorized approvers review the shopping cart.
When the project returns for the next phase of funding, it should be split into two projects. The MES and PCS activities will become one project while the infrastructure activities will be the other. Please see E07.",03/22/16 moved above Execution line. 10/01/15 PMT Endorsed. 6/25/15 Changed back to  FXNL Appr according to Team decision. 6/15/15 Changed to Canceled. Rolled over to E07 - Automation System Lifecycle MCS Upgrade,Individual,QSP,Stay in Business,Reliability and Value,,The Network is the backbone of the Manufacturing Control System (MCS). The infrastructure must be kept up to date to avoid downtime. Lifecycle for equipment is 5 - 7 years. Last replacement was 2009. Project implementation requires shutdown.,Execute,Scott Fields,John Urban,Alister Hufton,Myles Sumlin ,"$1,950k","$1,466k",$k,N/A,N/A,N/A,,$k,,"$1,466k",,,,,,"$1,466k","$1,466k",#REF!,"$1,466k",,,,,,"$1,466k",,,
T3,,,L160,74428,PCS Process Support Equipment Automation (PLC) Asset Replacement,Asset Replacement. ,03/03/15 Projects has been push out to 2016 to provide bandwith for Automation I&C. 11/18/14 SS submitted. ,Individual,QSP,Stay in Business,Launch and Commercial Excellence,,"Per site prioritization, this project is necessary to support high run rates at OCN, Currently, the skids are in paper records and do not support release by exception. ",FXNL LT Appr,Jim Neeleman,John Urban,Alister Hufton,Hieu Ton,,,,N/A,N/A,N/A,,$k,,,$200k,$900k,$900k,$935k,,"$2,935k","$2,935k",#REF!,,$200k,$900k,$900k,$935k,,"$2,935k",,,
T3,,1586,L160,74429,Mettler Toledo Weight Transmitter Conversion to Hardy Weight Transmitter - Asset Replacement,Asset Replacement - CRB heavely driven ,7/10/15 CA Appr. 7/01/15 Changed to CA Submitted. 6/10/15 CA issued. 5/28/15 Appr by PMT. 11/18/14 SS submitted. 10/16/14 P-scored at jPMT.,Individual,QSP,Stay in Business,Reliability and Value,,Failure of tramsmitters has increased. Once the Mettler Toledo fails an emergency change is initiated. An organized and scheduled conversion would reduce the cost and labor impact for each implementation.,Execute,Scott Fields,Tucker Creighton,Alister Hufton,Jonathan Clark ,$662k,$662k,,1.5,3.9,7.7,,$243k,,$205k,$23k,,,,,$228k,$471k,#REF!,$205k,$23k,,,,,$471k,,,
T3,,1359,L160,74431,Buffer Prep Mezzanine Lift Construction,Below the line. Budget 2015 Cap $100k;  2016 Cap $428k  Exp $30k,7/21/16 CA Routing. 03/15/16 Project moved above the line. 11/10/15 IMPACT endorsed. 11/05/15 PMT Endorsed. 05/18/15 Endorsed by Don to be included in MO5 budget and bring it to execution in 2015. 05/04/15 Great potential to bring this budget above the line. It will be rested to OLT. 12/18/14 Changed to On Hold. 11/12/14 Project reviewd. Total estimate $465k + 20%,Global,RTO,SHE and K-Directives,Reliability and Value,,Continued risk to staff injury while transporting materials. Higher run rates increase this risk. VV and Penzburg have list systems to assist with material and equipment movement. ,CA Routing,Scott Fields,Tucker Creighton,Mel Davis ,Jesse Bracamonte,,,,1.5,1.9,10.7,,$k,,$442k,,,,,,$442k,$442k,#REF!,$442k,,,,,,$442k,,,
T3,,,B160,74432,K6 Program - Project 4 - Replace Chillers,,2/13/15 Changed to Budgeted. ,Individual,CTT,SHE and K-Directives,Fit for Purpose,,Four (4) existing chillers in B-341 Central Utilities are not K6 compliant due to R-134A refigerant.,FXNL LT Appr,Zaymar Sedra,TBD,Mel Davis,Geoff Wing,,,,4.4,5.2,16.5,,$k,,,,"$3,000k","$6,650k","$6,000k","$3,650k","$19,300k","$19,300k",#REF!,,,"$3,000k","$6,650k","$6,000k","$3,650k","$19,300k",,,
T3,,,L160,74435,Hastelloy Chromatography Column (160cm),,"7/29/16 CA Submitted. 7/26/16 IMPACT endorsed. 7/21/16 PMT endorsed. 2/12/15 It was decided to passivate the column to extend its useful life On the ARR this column is scheduled to be replaced in 2017, so budget has been shifted accordingly. ",Individual,QSP,Improvements and Efficiencies,Fit for Purpose,,Four (4) existing chillers in B-341 Central Utilities are not K6 compliant due to R-134A refigerant.,CA Routing,Zaymar Sedra,John Urban,Alister Hufton,Juan Pacio,,,,2.9,3,17.1,,$k,,$400k,"$1,200k",,,,,"$1,600k","$1,600k",#REF!,$594k,"$1,179k",,,,,"$1,773k",,,
T3,,1359,L160,74453,NPI Pool Tanks,,03/30/15 WBS Received. 03/19/15 CA Submitted. ,Individual,QSP,Strategic,Fit for Purpose,,"Purchase and set three additional pool tanks into the P2 now together with the P2 project. Additional pool tank capacity is a known requirement for a significant portion of the PTD pipeline currently under development. This will minimize overall cost by 60% and eliminate the need for future shut down to set these tanks. 
",Execute,Zaymar Sedra,N/A,N/A,Ken Hamilton,"$1,223k","$1,223k",,N/A,N/A,60,,$581k,,$604k,$38k,,,,,$642k,"$1,223k",#REF!,$604k,$38k,,,,,"$1,223k",,,
T3,,659,L160,74454,Seed Lab (20L Bioreactor),Project related to P2 and it has been endorsed by the Steering Committee. ,"05/22/15 CA Appr. 04/29/15 CA Submitted. 03/16/15 Per Christian email, this project is back and split from Harvest Upgrade. ROLLED OVER. This project was combined with Harvest Mods 74119. ",Individual,QSP,Strategic,Fit for Purpose,,"The additional six 20l bioreactors are due to: (a) the site and network practice of having backups to the seed labs to reduce operationnal risk;. and (b) we use multiple thaws for product launch; this reduces risk to, and duration of, the qual campaign, and therefore provides a stronger package to submit to the regulatory authorities. And, qual campaigns would take longer without this capability. It is established practice in the network to run multiple thaws.",Execute,Zaymar Sedra,N/A,PTAA,Mark Jones / Paul Coon,"$2,604k","$2,567k",$37k,N/A,N/A,60,,"$1,387k",,"$1,010k",$441k,,,,,"$1,451k","$2,838k",#REF!,"$1,010k",$441k,,,,,"$2,838k",,,
T3,,659,L160,74455,3rd HCCF Vessel,Project related to P2 and it has been endorsed by the Steering Committee. ,"05/22/15 CA Appr. 04/29/15 CA Submitted. 03/16/15 Per Christian email, this project is back and split from Harvest Upgrade. ROLLED OVER. This project was combined with Harvest Mods 74119. ",Individual,QSP,Strategic,Fit for Purpose,,The 3rd HCCF vessel is required to provide a buffer for manufacturing to stabilize the current operation; The requirement gets accentuated with P2 due to the need ,Execute,Zaymar Sedra,N/A,PTAA,Mark Jones / Paul Coon,"$3,722k","$3,693k",$29k,N/A,N/A,60,,"$1,536k",,"$1,704k",,,,,,"$1,704k","$3,240k",#REF!,"$1,704k",,,,,,"$3,240k",,,
T3,,1586,L160,74486,PCS Controller Cabinet Asset Replacement,Asset Replacement with Safety and Compliance componenets. CAPA 7046 ,03/22/16 moved above Execution line. 10/20/15 IMPACT Endorsed. 10/08/15 PMT Endorsed. 10/05/15 Appr SS submitted.  5/18/15 3/19/15 SS in progress ,Individual,RTO,Stay in Business,Highly Capable Workforce,,"Genentech standards require that all controller cabinets shall be fully UL508 listed. CAPA 7046 was generated. PCS Delta Controller Cabinet legacy design represents a safety concern to personnel my means of electrocution, and to equipment resulting in critical failure. ",Execute,Melanie Yevilov,Tucker Creighton,Alister Hufton,Jonathan Clark,"$2,405k","$2,399k",$6k,N/A,N/A,N/A,,$k,,"$2,294k",$110k,,,,,"$2,404k","$2,404k",#REF!,"$2,294k",$110k,,,,,"$2,404k",,,
T3,,1586,L160,74487,Process VSD and SOV Asset Replacement,CAPA 982343. Asset Replacement - CRB heavely driven ,03/22/16 moved above Execution line. 12/8/15 Subtracted Process VSD and SOV Replacement - 2015 Capital portion per IMPACT discussion. 10/27 IMPACT Endorsed. 10/22/15 PMT Endorsed. ,Individual,QSP,Stay in Business,Highly Capable Workforce,,Both SOV and VSD problem create a great risk to reliable operations. The 2016 SD is a window opportunity to perform some or all of the identified equipment replacements. ,Execute,Melanie Yevilov,Tucker Creighton,Alister Hufton,Jonathan Clark ,"$6,549k","$6,542k",$7k,N/A,N/A,N/A,,$k,,"$3,600k","$1,434k","$1,509k",,,,"$6,543k","$6,543k",#REF!,"$3,600k","$1,434k","$1,509k",,,,"$6,543k",,,
T3,,1275,L160,74489,4040 Avenida Conference Center Acquisition,,11/04/15 CA issued. 05/18/15 Changed to Budgeted. Endorsed by Don to be included in MO5 budget and bring it to execution in 2015. ,Individual,QSP,Strategic,Exceptional Culture,A2 Business Efficiency,Procurement of OCC building. ,Execute,Deidre Dunham,N/A,Alister Hufton,Kara Swedberg,"$3,388k","$3,388k",$k,0.5,2.1,3.1,,"$2,701k",,$686k,,,,,,$686k,"$3,387k",#REF!,$686k,,,,,,"$3,387k",,,
T3,,1198,L160,74490,Hyfish Material Screening Operation,,8/06/15 CA Appr. 7/31/15 CA Submitted. 7/29/15 CA Routing. 7/14/15 Project presented at Don requested an offlione meetng for final endoresement. 7/02/15 PMT Appr. 6/12/15 SS submitted.,Individual,QSP,Improvements and Efficiencies,Reliability and Value,,Actemra runs have experienced a reduction in yields starting in Q4/2013. An 8% reduction in yield represents a loss of $20 million per 100 runs and potentially impact on site commercial schedule.,Execute,Scott Fields,Greg Crecely,Alister Hufton,Fikret Kulenovic,"$1,367k","$1,367k",$k,5,5.7,16.3,,$860k,,$601k,,,,,,$601k,"$1,461k",#REF!,$601k,,,,,,"$1,461k",,,
T3,,,B160,74491,Etro Tech Transfer,"4/14/16 Currently includes ER/QR cost in P2 CA 2 ($17.3M+$6,935,642). 12/18/15 Direction from IMPACT to move resin and its contingency amount of $1.7M from expense to capital may be over estimated by $300k per SE. SE to work with project team to remove spend to avoid double counting. X/X/15 Partial Asset Replacement. ",05/13/16 Cash flow reverted back to original forecast. 03/31/16 Cash flow updated according to latest estimates. 12/21/15 Added $500k into capital to account for resins and buffer expenditures per VG. 12/15/15 Moved $1.7M from expense into Capital per IMPACT. 05/05/15 SS Submitted. 05/06/15 CA Routing. ,Start-up,QSP,Tech Transfers,Launch and Commercial Excellence,,6/14/16 Change to On Hold due to the uncertatnty with this project. ,Hold,Jim Neeleman,N/A,N/A,Semsi Ensari,"$22,975k","$9,610k",$192k,N/A,N/A,60,,$k,,"$1,000k","$11,159k","$5,866k","$4,945k",,,"$22,970k","$22,970k",#REF!,"$1,000k","$11,159k","$5,866k","$4,945k",,,"$22,970k",,,
T3,,1586,G160,74510,PCS Asset Replacement - 2016,,03/22/16 moved above Execution line. 10/01/15 PMT Endorsed. 9/02/15 Originally called Automation System Lifecycle MCS Upgrade.  6/19/15 PMT Appr only feed study for $300k.,Individual,QSP,Stay in Business,Fit for Purpose,,"Upgrade PCS hardware and software for Development, Validation and Production environments. Coordinate with P2 Project Team to deploy during the 2016 Plant Shutdown.",Execute,Zaymar Sedra,John Urban,Alister Hufton,Myles Sumlin ,"$1,869k","$1,869k",$k,N/A,N/A,N/A,,$k,,"$1,766k",$149k,,,,,"$1,915k","$1,915k",,"$1,766k",$149k,,,,,"$1,915k",,,
T3,,642,L160,74511,QR018 Compliance Steam and Condensate Containment,CAPA 969326,03/24/16 Cash flow updated according to latest estimates. 2/19/16 Project name changed to match CA. 10/27 IMPACT Endorsed. 10/22/15 PMT Endorsed. 10/12/15 Submitted SS. ,Individual,QSP,Stay in Business,Reliability and Value,,"Compliance with QR018, meeting CAPA 939326 requirements, and to mitigate equipment degradation due to splashing, pooling and vapor condensation. Mitigation of slipping hazards for personell from condensate pooling and drain splashing. Scope includes both P1 and P2.",Execute,Scott Fields,Rich Johnson,Mel Davis,Anastasia Gandrik / Sumner Tison,"$5,000k","$5,000k",$k,2.6,3.8,13.3,,$k,,"$1,648k","$3,325k",,,,,"$4,973k","$4,973k",,"$1,648k","$3,325k",,,,,"$4,973k",,,
T3,,,G160,74512,K6 Program - Project 2 - B381 Compliance,"4/15/16 Prefer to couple with project 74278 to reduce risk of cost overruns, pending general manager endorsement.",11/6/15 SS pending signature.,Individual,CTT,SHE and K-Directives,Fit for Purpose,,Existing DX HVAC units in B-381 Conference Center use R-410A refrigerant. This refrigerant is on the list of materials to be eliminated per the Roche K6 directive.,FXNL LT Appr,Zaymar Sedra,John Urban,Mel Davis,Geoff Wing,,,,,,,,$k,,,,$356k,$444k,,,$800k,$800k,,,,$356k,$444k,,,$800k,,,
T3,,,G160,74513,Electric Vehicle Charging Stations,,"10/20/15 Presented to IMPACT, however it was put on hold. 8/31/15 SS Submitted. ",Global,CTT,Improvements and Efficiencies,Exceptional Culture,,There are no EV charging stations on the site at OCN. This project will  install up to five on-site EV charging stations to serve up to 20 vehicles. allowing OCN to remain competitive and a desired employer near talent competititors. Inline with other large local innovative companies. Benefit for Great Place to Work. Reduce Ecobalance contribution. Supports advancement of green vehicles. ,Hold,Deidre Dunham,Scott Brier,Mel Davis,Sumner Tison,,,,0.3,1.5,2.2,,$k,,,$350k,,,,,$350k,$350k,,,$350k,,,,,$350k,,,
T3,,642,G160,74526,Utility and Process Safety System,"2/25/16 Assumptions for T0, unaware of the full scope of the project. Was assumed to be a project-by-project basis, not ""full ring"" basis--will deliver on Freeze Thaw and CCC projects. 12/10 Renamed from SIL II System. 11/10/15 Potentially replace Asphyxiant Gas Remediation project; P2 Critical. Mel to submit SS by 11/15/15.",03/24/16 Capital portion changed to align with better cash flow forecasting.,Individual,RTO,SHE and K-Directives,Highly Capable Workforce,,"The OCN site lacks a dedicated Safety Instrumented System to avoid issues with code compliance, avoid accidental trips, maintain and test instruments.",Execute,Melanie Yevilov,John Urban,Mel Davis,Charles Fuller,"$1,939k","$1,939k",$k,2.6,3.8,13.3,,$k,,"$1,882k",$58k,,,,,"$1,940k","$1,940k",,"$1,882k",$58k,,,,,"$1,940k",,,
T3,,,B160,74527,Vessel 1020 Upgrade,4/14/16 Project is for Actemra.,11/11/15 Will J. to work on SS. 05/18/15 Changed to Budgeted. Endorsed by Don to be included in MO5 budget and bring it to execution in 2015. ,Individual,QSP,Stay in Business,Fit for Purpose,,"The media is being made in a hastelloy tank in buffer prep and then needs to be packed out to be used in the upstream. Technically, we are crossing the US/DS barrier - this is a bad practice and will get more complex when we are mfg concurrent products. The pack out line in buffer prep is also stainless and is currently pitted due to the upstream solution.  Replacement of the V1020 will replace the entire piping and media filter with the higher alloy metal.  ",Idea,Zaymar Sedra,John Urban,Mel Davis,Will Jimenez,,,,2.3,3,13.5,,$k,,,,"$3,800k",$100k,,,"$3,900k","$3,900k",#REF!,,,"$3,800k",$100k,,,"$3,900k",,,
T3,,1198,G160,76643,Optimize Column Movement Device,"Optimization of the Column Moving Device (RTO, CTT). Caustic Bath (RTO, CTT) and Frit Handling & Storage (CTT) were presented all together, however, IMPACT decided to approved only the CMD and asked for the other two items be submitted separately through the PPM process. The Business Driver could be RTO or QSP as is STARI project. It needs a SHA Checlist for each piece. ",10/30/14 WBS received. 10/23/14 CA submitted. 9/23/14 Partially appr by IMPACT. Only the CMD.Name changed back to original. 9/11/14 Appr by jPMT. 9/4/14 Name changed according to Bahar input. 7/3/14 dded same budget as MO5. We need to confirm by Sep. 6/24/14 Sent email. ,Global,RTO,SHE and K-Directives,Highly Capable Workforce,,"With the current equipment operators need to bend down carrying heavy hydraulic jacks, synchronize lifting operation making it unsafe and difficult, the whole lifting and moving process takes a long time.  ",Execute,Melanie Yevilov,Juan Pacio,Mel Davis ,Bahar Dahi,$353k,$353k,$k,2.4,1.3,18.6,1.25,$126k,,$143k,,,,,,$143k,$270k,#REF!,$143k,,,,,,$270k,,,
,,,,96022,WFI Pump Autostart,"Put it on hold. Original Estimate $286k.  Confirm acceptable risk? * We are doing this on HWFI 2 in DBx.  Prove program on HWFI 2 and carry over to HWFI 3
*AWFI and HWFI systems, including circulation pumps, do not restart automatically after power loss and recovery.  WFI service cannot be disabled for more than 240 minutes.  Automation request to include a download parameters from Delta V to pump VFDs, during plant re-start following power loss recovery. New cost includes commisioning/validation/CRB","11/03/14 Per Tim's email, this projects needs to be removed giving priority to P2 and WFI. 7/28/14 Changed PMO Lead 6/17/14 - It can't be done in 2014. Needs IT and Q resources ",Global,RTO,Improvements and Efficiencies,TBD,,"The Oceanside facility needs a robust and efficient auto start procedure for the WFI pumps after a power outage. Power outages causes the WFI pumps to shut down and reboot. The current reset sequence is complicated and time consuming and can take approximately 15 minutes per loop. This project makes significant contribution towards plant reliability and supply to patients. 
",Hold,TBD,CRB,TBD,Tim Lai,,,,0.6,1.2,4.3,0.13,$k,,,,,,,,,$k,#REF!,,,,,,,,,,
,,,,96040,GWR 1080/1090,"Below the line. Budget Cap $170k Exp $10k 2015. SS has been submitted. Need NPV. Process Improvement, Material Loss, compliance",12/18/14 Changed to on Hold. 11/11/14 Project reviewed. Linda to submit RR and signed SS by Nov 19. 8/27/14 Changed to Budgeted. 6/30/14 Added budget. Confirmed with Scott it will be executed in 2015.  6/11/14 Changed to Hold - JN. To make room for Agitator Seal Flush. Changed to QSP ,Global,QSP,Improvements and Efficiencies,TBD,,"This continuous improvement project for media prep tanks V1080/V1090 will provide an accurate method to measure tank level.  Guided wave radar transmitters will ensure solution preparations are prepared to target specification while utilizing industry/company best practices to minimize operational risk. Currently, not having a reliable and accurate method for measuring tank level increases the risk of producing material outside of acceptable limits with low detectability (potential compliance risk).",Hold,TBD,CRB Partial,TBD,Linda Hope,,,,1.3,1.3,10.1,,$k,,,,,,,,,$k,#REF!,,,,,,,,,,
T3,FAE,484,,96069,Warehouse Crown Forklift Asset Replacement,Asset Replacement ,12/07/15 On Hold until 2017 per Rich Dimler. 7/07/15 CA put on hold. 6/03/15 CA issued. 11/05/14 Put on hold for 2015. 10/30/14 CA on hold. 8/2/14 Infom to IMAPCT. 8/21/14 Inform to jPMT. Budget has been adjusted.  7/3/14 Added budget according to Liza's pull in list,Global,QSP,Life Cycle Mgmt,Fit for Purpose,,The lift is needed to assist in the transport of materials within the warehouse for storage or placement. The fit is used to alleviate a person from lifting heavy items that may cause severe injury. Doing nothing it will not ensure safe operations within the warehouse.  Part of the 2013 Asset Life Cycle Management Report. ,Hold,Zaymar Sedra,Tucker Creighton,Alister Hufton,Richard Dimler,,,,N/A,N/A,N/A,,$k,,,$144k,,,,,$144k,$144k,#REF!,,$144k,,,,,$144k,,,
,,,,96105,TMAC Tenderizer,SHE- Project identified during SBP Review.,4/15/16 Project on Hold pending Rituxan being added to the production plan.,Individual,QSP,Stay in Business,Highly Capable Workforce,,,Hold,Melanie Yevilov,Marcus Espinoza,Mel Davis,Pierre Luong,,,,,,,,$k,,,,,,,,,$k,#REF!,,,,,,,,,,
,,,,96109,Sci&Eng Lab Equipment for NPI and Launch Capability,Technology - Project identified during SBP Review.,10/08/15 PMT Endorsed. ,Individual,QSP,Tech Transfers,N/A,,,Canceled,N/A,N/A,N/A,N/A,,,,,,,,$k,,,,,,,,,$k,#REF!,,,,,,,,,,
T3,,,,96112,Maintenance Ops Shop Buildout,"2016 Cap $1M, 2017 Cap. $2M FOS -Project identified during SBP Review.",6/14/16 Deferred to 2019 per Hayden. Deferred to 2017. On Hold. ,Individual,QSP,Improvements and Efficiencies,Fit for Purpose,A1 Automation Improvement,,Budgeted,Zaymar Sedra,TBD,TBD,Hayden Knox ,,,,,,,,$k,,,,,$500k,"$2,500k",,"$3,000k","$3,000k",#REF!,,,,$500k,"$2,500k",,"$3,000k",,,
T3,,,,96113,Bulk Product Storage -20/-40,Technology - Project identified during SBP Review.,,Individual,QSP,Improvements and Efficiencies,Launch and Commercial Excellence,,,Placeholder,Jim Neeleman,TBD,TBD,TBD,,,,,,,,$k,,,,,,"$10,000k",,"$10,000k","$10,000k",#REF!,,,,,"$10,000k",,"$10,000k",,,
,,,,96114,QC Testing Equipment for Launch Capability and Storage Requirements,Quality - Project identified during SBP Review.,,Individual,QSP,Tech Transfers,N/A,,,Canceled,N/A,N/A,N/A,N/A,,,,,,,,$k,,,,,,,,,$k,#REF!,,,,,,,,,,
