,Buckets,Responsible,PD Rep,PM,Project Indicator,projectNo,Project Name,Capital,Expense ,Total,Project Total,,Capital,Expense ,Total,Project Total,Cap Delta,Exp Delta,,Capital,Expense ,Total,Project Total,type,16-Jan,16-Feb,16-Mar,16-Apr,16-May,16-Jun,16-Jul,16-Aug,16-Sep,16-Oct,16-Nov,16-Dec,2016 TOTAL,17-Jan,17-Feb,17-Mar,17-Apr,17-May,17-Jun,17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun,18-Jul,18-Aug,18-Sep,18-Oct,18-Nov,18-Dec,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec,2017 Total,2018 Total,2019 Total,2020 Total, Check 
,,,,Blake,,,,,,,,,,,,,, ,,,,,,E, -   , -   , -   , -   , -   ,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,Control,Other,,Alister,Individual Project,74489,4040 Avenida Conference Center Acquisition,"$688,000 ",$0 ,"$688,000 ","$3,388,000 ",,"$686,850 ",$0 ,"$686,850 ",x,"($1,150)",$0 ,,$0 ,$0 ,$0 ,,C, -   , -   ,"-1,150", -   , -   , -   , -   , -   , -   ,"228,950","228,950","228,950","685,700", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   ,0.15
,,,,Alister,,,,,,,,,,,,,, ,,,,,,E, -   , -   , -   , -   , -   ,,,   ,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,Control,Other,,Siu-Fai,Global,64914,QC M9 TOC Analyzers,"$106,000 ",$0 ,"$106,000 ","$106,000 ",,"$18,930 ",$0 ,"$18,930 ",x,"($87,070)",$0 ,,$0 ,$0 ,$0 ,,C, -   ,"17,480", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"17,480", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,,,,Siu-Fai,,,,,,,,,,,,,, ,,,,,,E, -   , -   , -   , -   , -   ,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,Control,Other,,Siu-Fai,Global,64923,QC Met-One Air Sampler Replacement 2015,"$60,000 ",$0 ,"$60,000 ","$60,000 ",,"$15,885 ",$0 ,"$15,885 ",x,"($44,115)",$0 ,,$0 ,$0 ,$0 ,,C, -   , -   , -   , -   , -   , -   ,"15,885", -   , -   , -   , -   , -   ,"15,885", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   ,-0.12
,,,,Siu-Fai,,,,,,,,,,,,,, ,,,,,,E, -   , -   , -   , -   , -   ,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,Control,Other,,Siu-Fai,Global,64927,QC Gel Imager Replacement 2015,"$15,000 ",$0 ,"$15,000 ","$15,000 ",,"$2,660 ",$0 ,"$2,660 ",x,"($12,340)",$0 ,,$0 ,$0 ,$0 ,,C, -   , -   ,987, -   , -   , -   , -   , -   , -   , -   , -   , -   ,987, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   ,0.2
,,,,Siu-Fai,,,,,,,,,,,,,, ,,,,,,E, -   , -   , -   , -   , -   ,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,Control,CRBB,,Rich Dilmar,Global,65009,Drum Mover/Raw Material Tenderizer,$0 ,"$25,000 ","$25,000 ","$34,000 ",,"$30,000 ","$4,000 ","$34,000 ",x,"$30,000 ","($21,000)",,$0 ,$0 ,$0 ,,C, -   , -   , -   , -   , -   , -   , -   ,"15,000","15,000", -   , -   , -   ,"30,000", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,,,,Rich Dilmar,,,,,,,,,,,,,, ,,,,,,E, -   , -   , -   , -   , -   , -   , -   ,"4,000", -   , -   , -   , -   ,"4,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,Control,Other,,Siu-Fai,Global,65005,Analytical Scale,$0 ,$0 ,$0 ,"$24,000 ",,"$24,239 ",$0 ,"$24,239 ",x,"$24,239 ",$0 ,,$0 ,$0 ,$0 ,,C,"23,914",324, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,"24,239", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   ,0.82
,,,,Siu-Fai,,,,,,,,,,,,,, ,,,,,,E, -   , -   , -   , -   , -   ,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,Control,Other,,Scott K,Global,65015,Lower Solid Collector for Centrifuge,$0 ,$0 ,$0 ,"$245,000 ",,"$245,000 ",$0 ,"$245,000 ",x,"$245,000 ",$0 ,,$0 ,$0 ,$0 ,,C, -   , -   , -   , -   , -   , -   ,"46,200", -   ,"85,800","10,000", -   , -   ,"142,000", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,,,,Scott K,,,,,,,,,,,,,, ,,,,,,E, -   , -   , -   , -   , -   ,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,Control,Other,,P2,Global,65018,Spare Bowl for Hermetic Centrifuge,$0 ,$0 ,$0 ,"$320,000 ",,"$320,000 ",$0 ,"$320,000 ",x,"$320,000 ",$0 ,,$0 ,$0 ,$0 ,,C, -   , -   , -   , -   , -   , -   , -   , -   ,"320,000", -   , -   , -   ,"320,000", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,,,,P2,,,,,,,,,,,,,, ,,,,,,E, -   , -   , -   , -   , -   ,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,Control,CRBB,,Marcus,Global,65021,Hazardous Material Response Cart,$0 ,$0 ,$0 ,"$18,000 ",,"$19,424 ",$0 ,"$19,424 ",x,"$19,424 ",$0 ,,$0 ,$0 ,$0 ,,C, -   , -   , -   , -   , -   , -   ,"17,985", -   , -   , -   , -   , -   ,"17,985", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,,,,Marcus,,,,,,,,,,,,,, ,,,,,,E, -   , -   , -   , -   , -   ,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,Control,Other,,Siu-Fai,Global,65020,QC Auto-Pipettor for Potency Assay,$0 ,$0 ,$0 ,"$30,000 ",,"$27,987 ",$0 ,"$27,987 ",x,"$27,987 ",$0 ,,$0 ,$0 ,$0 ,,C, -   , -   , -   ,"26,937", -   ,"1,050", -   , -   , -   , -   , -   , -   ,"27,987", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   ,0.32
,,,,Siu-Fai,,,,,,,,,,,,,, ,,,,,,E, -   , -   , -   , -   , -   ,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,Control,Other,,Siu-Fai,Global,65023,QC Plate Washer for Potency Assay,$0 ,$0 ,$0 ,"$60,000 ",,"$56,795 ",$0 ,"$56,795 ",x,"$56,795 ",$0 ,,$0 ,$0 ,$0 ,,C, -   , -   ,"56,795", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"56,795", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   ,-0.2
,,,,Siu-Fai,,,,,,,,,,,,,, ,,,,,,E, -   , -   , -   , -   , -   ,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,Control,CRBB,, ,Global,65024,Sci&Eng Lab Incubator and Freezer Asset Replacement,$0 ,$0 ,$0 ,"$140,000 ",,"$140,000 ",$0 ,"$140,000 ",x,"$140,000 ",$0 ,,$0 ,$0 ,$0 ,,C, -   , -   ,"1,370","124,022", -   , -   ,"3,636", -   , -   , -   , -   , -   ,"129,028", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,-0.4
,,,,,,,,,,,,,,,,,, ,,,,,,E, -   , -   , -   , -   , -   ,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,Control,CRBB,,Rich D.,Global,65037,Analytical Scales (CAPA 1150248),$0 ,$0 ,$0 ,"$24,000 ",,"$23,914 ",$0 ,"$23,914 ",x,"$23,914 ",$0 ,,$0 ,$0 ,$0 ,,C, -   , -   , -   ,"23,997", -   , -   , -   , -   , -   , -   , -   , -   ,"23,997", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   ,-0.37
,,,,Rich D.,,,,,,,,,,,,,, ,,,,,,E,   ,   ,   ,   ,   ,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,Control,Other,,Eugene,Global,65040,Sci&Eng Cryofreezer,$0 ,$0 ,$0 ,"$23,000 ",,"$20,185 ",$0 ,"$20,185 ",x,"$20,185 ",$0 ,,$0 ,$0 ,$0 ,,C, -   , -   , -   , -   ,"20,185", -   , -   , -   , -   , -   , -   , -   ,"20,185", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   ,-0.23
,,,,Eugene,,,,,,,,,,,,,, ,,,,,,E, -   , -   , -   , -   , -   ,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,Control,Other,,Perry C,Global,65048,Process Maintenance Boroscope,$0 ,$0 ,$0 ,"$37,000 ",,"$37,000 ",$0 ,"$37,000 ",x,"$37,000 ",$0 ,,$0 ,$0 ,$0 ,,C, -   , -   , -   , -   , -   ,"35,008", -   , -   , -   , -   , -   , -   ,"35,008", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   ,0.2
,,,,Perry C,,,,,,,,,,,,,, ,,,,,,E,,,,,,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,Control,Other,,Mark Maruccia,Global,65082,RF Sealer Generator,,,,,,,,,,,,,,,,,C,,,,,,,,,,,"22,000",,"22,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,,,,Mark Maruccia,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
x,Control,CRBB,,Michael,Expense,97059,B311 & B321 Gowning Room Modifications,$0 ,$0 ,$0 ,"$131,000 ",,$0 ,"$107,000 ","$107,000 ",x,$0 ,"$107,000 ",,$0 ,$0 ,$0 ,,C, -   , -   , -   , -   , -   ,,,,,,,, -   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,,,,Michael,,,,,,,,,,,,,, ,,,,,,EXP, -   , -   ,"3,625","7,947","83,920","5,000", -   , -   , -   , -   , -   , -   ,"100,493", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   ,0.85
,,,,,Expense,97073,PAIR,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   
,,,,,,,,,,,,,,,,,,,,,,,,E,"224,479","22,800","334,726","355,261","193,973","226,528","270,527","480,322","105,208","165,866","259,354","463,306","3,102,350",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41
,Control,CRBB,,Blake,Expense,97058,Parking Pavement Repair,$0 ,"$80,000 ","$80,000 ","$200,000 ",,$0 ,"$245,040 ","$245,040 ",x,$0 ,"$165,040 ",,$0 ,$0 ,$0 ,,C, -   , -   , -   , -   , -   ,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,,,,Blake,,,,,,,,,,,,,, ,,,,,,EXP,"140,048", -   ,"104,992", -   , -   , -   , -   , -   , -   , -   , -   , -   ,"245,040", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   ,0.06
,Control,CRBB,,John,Expense,97007,Automation System Lifecycle MCS Upgrade - PI,$0 ,"$270,000 ","$270,000 ","$270,000 ",,$0 ,"$295,169 ","$295,169 ",x,$0 ,"$25,169 ",,$0 ,$0 ,$0 ,,C, -   , -   , -   , -   , -   ,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,,,,John,,,,,,,,,,,,,, ,,,,,,EXP, -   , -   ,"45,261",613,"56,772","41,000","95,555","56,580", -   , -   , -   , -   ,"295,781", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   ,0.47
x,Control,Other,,Alister/Eric Davis/Ravi med..,Expense,97003,MFG Systems Integration Improvement Phase 1 - 2015,$0 ,"$443,000 ","$443,000 ","$458,000 ",,$0 ,"$443,000 ","$443,000 ",x,$0 ,$0 ,,$0 ,"$135,000 ","$135,000 ",,C, -   , -   , -   , -   , -   ,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,,,,Alister,,,,,,,,,,,,,, ,,,,,,EXP, -   , -   , -   , -   ,"2,227","20,000","45,000","45,000","45,000","45,000","45,000","45,000","292,227","45,000","45,000","45,000", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,"135,000", -   , -   , -   ,-0.28
,Control,CRBB,,Marcus,Expense,97048,Arc Flash Prevention,$0 ,"$318,000 ","$318,000 ","$366,000 ",,$0 ,"$319,456 ","$319,456 ",x,$0 ,"$1,456 ",,$0 ,$0 ,$0 ,,C, -   , -   , -   , -   , -   ,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
x,,,,Marcus,,,,,,,,,,,,,, ,,,,,,EXP, -   , -   , -   ,"54,511","4,020","2,966","17,094","17,655","18,784","25,194","177,776", -   ,"318,000", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   ,-0.23
x,Control,CRBB,,John,Expense,82000,I&C Engineering and Instrument Configuration Management System Remediation Project (CAPA 982343),$0 ,"$1,180,000 ","$1,180,000 ","$1,220,000 ",,$0 ,"$933,707 ","$933,707 ",x,$0 ,"($246,293)",,$0 ,"$574,661 ","$574,661 ",,C,   , -   , -   , -   , -   ,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,,,,John,,,,,,,,,,,,,, ,,,,,,EXP,,"48,556","72,388","106,166","54,206","97,735","96,631","82,448","81,688","101,504","104,368","103,310","949,000","107,632","100,564","79,753","221,169","65,543", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,"574,661", -   , -   , -   ,0.08
,Control,Other,,Alister,Expense,97042,"CRB, travel, ofc supplies, trailer, others ",$0 ,"$627,000 ","$627,000 ",$0 ,,$0 ,"$317,400 ","$317,400 ",x,$0 ,"($309,600)",,$0 ,$0 ,$0 ,,C, -   , -   , -   , -   , -   ,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,,,,Alister,,,,,,,,,,,,, , ,,,,,,EXP,"26,450","26,450","26,450","26,450","26,450","26,450","26,450","26,450","26,450","26,450","26,450","26,450","317,400", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
x,Control,CRBB,,John,Individual Project,74510,PCS Asset Replacement - 2016,"$1,869,000 ",$0 ,"$1,869,000 ","$1,869,000 ",,"$1,745,957 ",$69 ,"$1,746,027 ",x,"($123,043)",$69 ,,"$149,000 ",$0 ,"$149,000 ",,C, -   , -   ,"25,212","-22,826","37,582","20,777","642,418","389,000","232,676","147,000","147,000","147,000","1,765,839","149,000", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,"149,000", -   , -   , -   ,-0.34
,,,,John,,,,,,,,,,,,,, ,,,,,,E, -   ,69, -   ,150, -   ,,,,,,,,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   ,0.3
,Control,Other,,Alister,Expense,97075,PCS Asset Replacement Depreciation Write-Off,0,"$800,000 ","$800,000 ","$800,000 ",,$0 ,"$800,000 ","$800,000 ",x,$0 ,$0 ,,$0 ,$0 ,$0 ,,C, -   , -   , -   , -   , -   ,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,,,,Alister,,,,,,,,,,,,,, ,,,,,,EXP,"66,667","66,667","66,667","66,667","66,667","66,667","66,667","66,667","66,667","66,667","66,667","66,667","800,000", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   ,0.33
x,Control,CRBB,,Tucker,Individual Project,74486,PCS Controller Cabinet Asset Replacement,"$2,404,000 ",$0 ,"$2,404,000 ","$6,042,000 ",,"$2,294,000 ",$0 ,"$2,294,000 ",x,"($110,000)",$0 ,,"$110,000 ",$0 ,"$110,000 ",,C, -   , -   , -   , -   , -   , -   ,"407,000","520,000","481,000","267,000","349,000","270,000","2,294,000","110,000", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,"110,000", -   , -   , -   , -   
,,,,Tucker,,,,,,,,,,,,,, ,,,,,,E, -   , -   , -   , -   , -   ,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
x,Control,CRBB,,Tucker,Individual Project,74487,Process VSD and SOV Asset Replacement,"$4,542,000 ","$7,000 ","$4,549,000 ","$17,422,000 ",,"$3,599,317 ",$0 ,"$3,599,317 ",x,"($942,683)","($7,000)",,"$2,925,030 ","$18,000 ","$2,943,030 ",,C, -   , -   , -   , -   ,480,"3,265","415,040","610,609","623,427","652,315","530,405","764,256","3,599,796","876,901","1,529,611","518,519", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,"2,925,030", -   , -   , -   ,-1.04
,,,,Tucker,,,,,,,,,,,,,, ,,,,,,E, -   , -   , -   , -   , -   ,,,,,,,,0,"18,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,000", -   , -   , -   , -   
x,Control,CRBB,,John,Individual Project,74427,MCS Network Infrastructure Asset Replacement - 2016,"$1,944,000 ",$0 ,"$1,944,000 ","$4,291,000 ",,"$1,944,000 ",$0 ,"$1,944,000 ",x,$0 ,$0 ,,$0 ,$0 ,$0 ,,C, -   , -   , -   ,"447,832","15,485","51,789","247,834","404,156","110,994","136,577","51,333", -   ,"1,466,000", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   ,-0.39
,,,,John,,,,,,,,,,,,,, ,,,,,,E, -   , -   , -   , -   , -   ,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,Control,Other,,Blair/CRBB,Individual Project,74511,QR018 Compliance Steam and Condensate Containment,"$2,457,000 ","$45,000 ","$2,502,000 ","$4,971,000 ",,"$1,943,300 ",$0 ,"$1,943,300 ",x,"($513,700)","($45,000)",,"$3,074,500 ",$0 ,"$3,074,500 ",,C, -   , -   , -   , -   ,"3,600","15,400","9,200","410,000","172,500","212,500","512,500","312,500","1,648,200","262,500","462,500","312,500","462,500","712,500","457,500","247,500","377,500","30,000","30,000", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,"3,355,000", -   , -   , -   , -   
,,,,Blair/CRBB,,,,,,,,,,,,,, ,,,,,,E, -   , -   , -   , -   , -   , -   ,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
x,Control,CRBB,,John,Individual Project,74526,Utility and Process Safety System,"$1,700,000 ",$0 ,"$1,700,000 ","$1,999,000 ",,"$1,190,000 ",$0 ,"$1,190,000 ",x,"($510,000)",$0 ,,"$57,596 ",$0 ,"$57,596 ",,C, -   , -   , -   , -   , -   ,"6,578","76,063","332,617","408,180","235,552","411,707","411,707","1,882,404","57,596", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,"57,596", -   , -   , -   ,-0.38
,,,,John,,,,,,,,,,,,,, ,,,,,,E, -   , -   , -   , -   , -   ,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,Control,CRBB,,John,Global,65044,Additional MCS Backup Storage,$0 ,$0 ,$0 ,"$62,000 ",,"$62,000 ",$0 ,"$62,000 ",x,"$62,000 ",$0 ,,$0 ,$0 ,$0 ,,C, -   , -   , -   , -   , -   ,"40,834","5,292","5,292","5,292","5,292", -   , -   ,"62,000", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
,,,,John,,,,,,,,,,,,,, ,,,,,,E,,,,,,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
Need,Control,CRBB,,John U,Individual Project,74535,Draining of Top Mounted Agitator Well (CAPA 1140940),$0 ,$0 ,$0 ,"$960,000 ",,"$306,000 ",$0 ,"$306,000 ",x,"$306,000 ",$0 ,,"$654,000 ",$0 ,"$654,000 ",,C, -   , -   , -   , -   , -   , -   , -   , -   ,"8,000","46,000","116,000","136,000","306,000","138,000","80,000","229,000","207,000", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,,,,,,,,,,,,,,,,,,,,,"654,000", -   , -   , -   , -   
,,,,John U,,,,,,,,,,,,,, ,,,,,,E,,,,, -   ,,,,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, -   , -   , -   , -   , -   
